Client,Project,Registered time,Billable time,Amount ()
,0.1 Sprint Concepts,02:09:20,,
,0.3 Accountability,01:52:15,,
,2.0 Udacity HTML and CSS Lesson 1,02:45:50,,
,2.1 Udacity Practice,07:41:15,,
,2.3 HTML CSS 2,01:31:29,,
,2.4 Tech Blog p.2,01:58:58,,
,2.5 Technical Debt,00:38:56,,
,2.6 Cultural Blog,03:45:29,,
,2.7 Reflection,00:10:00,,
,,02:04:54,,
