Client,Project,Registered time,Billable time,Amount ()
,0.1 Sprint Concepts,00:08:07,,
,5.0 All Together Now,01:58:40,,
,5.1 Program Structure,02:46:37,,
,5.2 Event Handling,01:12:02,,
,5.3 Altering the DOM,01:10:35,,
,5.4 Event-driven DOM modification,01:10:44,,
,5.6 Cultural Blog,00:41:53,,
,5.7 Technical Blog,00:54:20,,
,5.8 Reflection,00:03:22,,
